x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.229156,-0.966080,-0.132278,1.001659,36292.905832,2001-01-01 10:04:52.906 +0000
-0.262344,-0.967072,-0.091019,1.006149,36292.896005,2001-01-01 10:04:52.896 +0000
-0.299088,-0.957031,-0.028854,1.003093,36292.886209,2001-01-01 10:04:52.886 +0000
-0.305099,-0.957153,0.041138,1.005445,36292.876413,2001-01-01 10:04:52.876 +0000
-0.277328,-0.968185,0.043579,1.008064,36292.866616,2001-01-01 10:04:52.867 +0000
-0.223343,-0.986115,-0.038681,1.011830,36292.856820,2001-01-01 10:04:52.857 +0000
-0.189590,-1.008179,-0.058670,1.027527,36292.847024,2001-01-01 10:04:52.847 +0000
-0.185150,-1.018463,-0.033066,1.035684,36292.837197,2001-01-01 10:04:52.837 +0000
-0.184753,-1.027664,0.079544,1.047165,36292.827401,2001-01-01 10:04:52.827 +0000
-0.178543,-1.014755,0.025742,1.030664,36292.817605,2001-01-01 10:04:52.818 +0000
-0.188828,-0.999954,-0.067169,1.019841,36292.807809,2001-01-01 10:04:52.808 +0000
-0.195068,-1.000092,-0.040054,1.019725,36292.798013,2001-01-01 10:04:52.798 +0000
-0.221817,-0.997360,0.019150,1.021908,36292.788186,2001-01-01 10:04:52.788 +0000
-0.248245,-1.008331,0.084213,1.041849,36292.778390,2001-01-01 10:04:52.778 +0000
-0.245422,-1.002899,0.021301,1.032711,36292.768594,2001-01-01 10:04:52.769 +0000
-0.222992,-1.004150,-0.061035,1.030422,36292.758798,2001-01-01 10:04:52.759 +0000
-0.209000,-1.001709,-0.081375,1.026510,36292.748971,2001-01-01 10:04:52.749 +0000
-0.192932,-1.006500,-0.084839,1.028330,36292.739175,2001-01-01 10:04:52.739 +0000
-0.184097,-1.004852,-0.069031,1.023907,36292.729379,2001-01-01 10:04:52.729 +0000
-0.174759,-1.006454,-0.022156,1.021754,36292.719583,2001-01-01 10:04:52.720 +0000
-0.159653,-1.014923,0.061279,1.029229,36292.709787,2001-01-01 10:04:52.710 +0000
-0.133698,-1.027237,0.113251,1.042073,36292.699960,2001-01-01 10:04:52.700 +0000
-0.110382,-1.029663,0.127182,1.043343,36292.690164,2001-01-01 10:04:52.690 +0000
-0.120972,-1.018402,0.123810,1.033008,36292.680368,2001-01-01 10:04:52.680 +0000
-0.146973,-0.997360,0.001251,1.008132,36292.670572,2001-01-01 10:04:52.671 +0000
-0.198364,-0.991135,-0.104584,1.016186,36292.660745,2001-01-01 10:04:52.661 +0000
-0.302917,-0.957794,-0.167816,1.018475,36292.650949,2001-01-01 10:04:52.651 +0000
-0.356567,-0.943985,-0.135635,1.018158,36292.641153,2001-01-01 10:04:52.641 +0000
-0.384155,-0.960281,-0.047409,1.035357,36292.631356,2001-01-01 10:04:52.631 +0000
-0.387512,-0.987061,0.082199,1.063584,36292.621530,2001-01-01 10:04:52.622 +0000
-0.376236,-1.013046,0.148605,1.090825,36292.611734,2001-01-01 10:04:52.612 +0000
-0.334198,-1.021896,0.140625,1.084314,36292.601937,2001-01-01 10:04:52.602 +0000
-0.262848,-1.033310,0.089142,1.069937,36292.592141,2001-01-01 10:04:52.592 +0000
-0.192047,-1.024994,-0.077347,1.045695,36292.582315,2001-01-01 10:04:52.582 +0000
-0.181061,-1.011429,-0.101639,1.032522,36292.572519,2001-01-01 10:04:52.573 +0000
-0.169052,-1.018173,-0.065079,1.034162,36292.562722,2001-01-01 10:04:52.563 +0000
-0.180695,-1.005646,-0.003677,1.021757,36292.552926,2001-01-01 10:04:52.553 +0000
-0.195480,-1.012436,0.075760,1.033914,36292.543130,2001-01-01 10:04:52.543 +0000
-0.208801,-1.038208,0.141739,1.068440,36292.533303,2001-01-01 10:04:52.533 +0000
-0.227310,-1.057037,0.202698,1.100038,36292.523507,2001-01-01 10:04:52.524 +0000
-0.243301,-1.069443,0.171036,1.110025,36292.513711,2001-01-01 10:04:52.514 +0000
-0.250671,-1.050690,0.088531,1.083800,36292.503915,2001-01-01 10:04:52.504 +0000
-0.223297,-1.038330,0.022537,1.062308,36292.494119,2001-01-01 10:04:52.494 +0000
-0.189407,-1.020020,-0.021454,1.037678,36292.484292,2001-01-01 10:04:52.484 +0000
-0.133636,-1.003647,-0.044861,1.013498,36292.474496,2001-01-01 10:04:52.474 +0000
-0.076218,-0.989822,-0.000092,0.992752,36292.464700,2001-01-01 10:04:52.465 +0000
-0.044189,-0.994141,0.048950,0.996325,36292.454904,2001-01-01 10:04:52.455 +0000
-0.051651,-0.991959,0.081772,0.996663,36292.445108,2001-01-01 10:04:52.445 +0000
-0.090683,-0.991806,0.088287,0.999849,36292.435281,2001-01-01 10:04:52.435 +0000
-0.148193,-0.995132,0.051468,1.007422,36292.425485,2001-01-01 10:04:52.425 +0000
-0.173065,-0.984665,-0.045471,1.000792,36292.415747,2001-01-01 10:04:52.416 +0000
-0.135956,-0.981369,-0.115112,0.997407,36292.405920,2001-01-01 10:04:52.406 +0000
-0.040085,-0.994095,-0.189316,1.012755,36292.396124,2001-01-01 10:04:52.396 +0000
0.077866,-1.002869,-0.140457,1.015646,36292.386328,2001-01-01 10:04:52.386 +0000
0.142899,-0.993118,-0.026627,1.003700,36292.376532,2001-01-01 10:04:52.377 +0000
0.160706,-0.985733,0.081619,1.002077,36292.366705,2001-01-01 10:04:52.367 +0000
0.136826,-0.978958,0.104111,0.993941,36292.356909,2001-01-01 10:04:52.357 +0000
0.097473,-0.976837,0.141586,0.991846,36292.347113,2001-01-01 10:04:52.347 +0000
0.060547,-0.977341,0.103683,0.984688,36292.337317,2001-01-01 10:04:52.337 +0000
0.061386,-0.989105,-0.088394,0.994943,36292.327520,2001-01-01 10:04:52.328 +0000
0.074295,-0.977112,-0.215881,1.003430,36292.317694,2001-01-01 10:04:52.318 +0000
0.094345,-0.969330,-0.314423,1.023407,36292.307898,2001-01-01 10:04:52.308 +0000
0.102615,-0.958069,-0.293625,1.007294,36292.298101,2001-01-01 10:04:52.298 +0000
0.107437,-0.948639,-0.162643,0.968458,36292.288305,2001-01-01 10:04:52.288 +0000
0.092667,-0.944366,-0.022141,0.949160,36292.278479,2001-01-01 10:04:52.278 +0000
0.076492,-0.946838,0.032944,0.950494,36292.268682,2001-01-01 10:04:52.269 +0000
