x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.106888,-0.979935,0.036270,0.986414,36430.218303,2001-01-01 10:07:10.218 +0000
-0.092239,-1.018387,0.026886,1.022909,36430.208507,2001-01-01 10:07:10.209 +0000
-0.073410,-1.015106,-0.077469,1.020701,36430.198711,2001-01-01 10:07:10.199 +0000
-0.080826,-1.017166,-0.222198,1.044285,36430.188915,2001-01-01 10:07:10.189 +0000
-0.060883,-1.006088,-0.268692,1.043128,36430.179118,2001-01-01 10:07:10.179 +0000
-0.027512,-0.998901,-0.258179,1.032094,36430.169322,2001-01-01 10:07:10.169 +0000
-0.020004,-0.993500,-0.164062,1.007154,36430.159526,2001-01-01 10:07:10.160 +0000
-0.015991,-1.001389,-0.068787,1.003876,36430.149699,2001-01-01 10:07:10.150 +0000
-0.029205,-0.990494,0.003571,0.990931,36430.139903,2001-01-01 10:07:10.140 +0000
-0.054550,-0.997696,0.033066,0.999733,36430.130107,2001-01-01 10:07:10.130 +0000
-0.074631,-0.984344,0.040115,0.987984,36430.120311,2001-01-01 10:07:10.120 +0000
-0.065521,-1.038605,0.101334,1.045591,36430.110515,2001-01-01 10:07:10.111 +0000
-0.004349,-0.999939,-0.129837,1.008342,36430.100719,2001-01-01 10:07:10.101 +0000
-0.020111,-1.008743,-0.235306,1.036019,36430.090892,2001-01-01 10:07:10.091 +0000
-0.046722,-1.013702,-0.189468,1.032315,36430.081096,2001-01-01 10:07:10.081 +0000
-0.077164,-1.007843,-0.144958,1.021134,36430.071300,2001-01-01 10:07:10.071 +0000
-0.096283,-1.006241,-0.088089,1.014668,36430.061504,2001-01-01 10:07:10.062 +0000
-0.095474,-1.002335,-0.037064,1.007553,36430.051708,2001-01-01 10:07:10.052 +0000
-0.079346,-0.998566,-0.026886,1.002074,36430.041911,2001-01-01 10:07:10.042 +0000
-0.064453,-0.991287,-0.060623,0.995228,36430.032085,2001-01-01 10:07:10.032 +0000
-0.040863,-0.992737,-0.123260,1.001194,36430.022289,2001-01-01 10:07:10.022 +0000
-0.000992,-1.011108,-0.168671,1.025081,36430.012492,2001-01-01 10:07:10.012 +0000
0.024597,-1.019882,-0.196930,1.039012,36430.002696,2001-01-01 10:07:10.003 +0000
0.030563,-1.021332,-0.199265,1.041038,36429.992900,2001-01-01 10:07:09.993 +0000
0.041153,-1.023712,-0.178772,1.040019,36429.983104,2001-01-01 10:07:09.983 +0000
0.035645,-1.008530,-0.146484,1.019735,36429.973308,2001-01-01 10:07:09.973 +0000
0.024994,-1.001190,-0.097778,1.006264,36429.963481,2001-01-01 10:07:09.963 +0000
0.017883,-0.997711,-0.025421,0.998195,36429.953685,2001-01-01 10:07:09.954 +0000
0.039215,-1.002304,0.029099,1.003493,36429.943889,2001-01-01 10:07:09.944 +0000
0.068207,-1.004379,-0.038269,1.007420,36429.934093,2001-01-01 10:07:09.934 +0000
0.106201,-0.989273,-0.193787,1.013653,36429.924297,2001-01-01 10:07:09.924 +0000
0.098495,-0.971634,-0.362808,1.041827,36429.914501,2001-01-01 10:07:09.915 +0000
0.035004,-0.958511,-0.404419,1.040925,36429.904704,2001-01-01 10:07:09.905 +0000
0.042633,-0.943787,-0.299210,0.990998,36429.894908,2001-01-01 10:07:09.895 +0000
0.054199,-0.961533,-0.169800,0.977913,36429.885082,2001-01-01 10:07:09.885 +0000
-0.005280,-0.975067,-0.059341,0.976885,36429.875285,2001-01-01 10:07:09.875 +0000
-0.050034,-1.006348,0.056946,1.009199,36429.865489,2001-01-01 10:07:09.865 +0000
-0.073120,-1.037720,0.156128,1.051943,36429.855693,2001-01-01 10:07:09.856 +0000
-0.073914,-1.056549,0.176956,1.073812,36429.845897,2001-01-01 10:07:09.846 +0000
